market_id,question,event_title,volume,created_at,end_date
1797931,"Bitcoin Up or Down - March 31, 7:15PM-7:20PM ET","Bitcoin Up or Down - March 31, 7:15PM-7:20PM ET",138159.8522199998,2026-03-30 23:21:54.000000 UTC,2026-03-31 23:20:00.000000 UTC
1943064,"Bitcoin Up or Down - April 11, 9:50PM-9:55PM ET","Bitcoin Up or Down - April 11, 9:50PM-9:55PM ET",138157.9471290005,2026-04-11 01:56:52.000000 UTC,2026-04-12 01:55:00.000000 UTC
1363816,"Bitcoin Up or Down - February 12, 4PM ET","Bitcoin Up or Down - February 12, 4PM ET",138131.216029,2026-02-10 21:00:01.000000 UTC,2026-02-12 22:00:00.000000 UTC
1757961,"Bitcoin Up or Down - March 29, 6:50AM-6:55AM ET","Bitcoin Up or Down - March 29, 6:50AM-6:55AM ET",138130.57514800006,2026-03-28 10:57:23.000000 UTC,2026-03-29 10:55:00.000000 UTC
594894,"Bitcoin Up or Down - September 16, 1PM ET","Bitcoin Up or Down - September 16, 1PM ET",138122.269885,2025-09-12 09:56:11.000000 UTC,2025-09-16 18:00:00.000000 UTC
1449327,"Bitcoin Up or Down - February 27, 1:25PM-1:30PM ET","Bitcoin Up or Down - February 27, 1:25PM-1:30PM ET",138122.087676,2026-02-26 18:32:37.000000 UTC,2026-02-27 18:30:00.000000 UTC
854676,"Bitcoin Up or Down - December 7, 4:30AM-4:45AM ET","Bitcoin Up or Down - December 7, 4:30AM-4:45AM ET",138116.422275,2025-12-06 09:32:33.000000 UTC,2025-12-07 09:45:00.000000 UTC
649609,"Bitcoin Up or Down - October 27, 12PM ET","Bitcoin Up or Down - October 27, 12PM ET",138099.697386,2025-10-25 16:00:01.000000 UTC,2025-10-27 17:00:00.000000 UTC
1737555,"Bitcoin Up or Down - March 27, 7:25PM-7:30PM ET","Bitcoin Up or Down - March 27, 7:25PM-7:30PM ET",138085.43414999993,2026-03-26 23:31:56.000000 UTC,2026-03-27 23:30:00.000000 UTC
1778321,"Bitcoin Up or Down - March 30, 12:45PM-1:00PM ET","Bitcoin Up or Down - March 30, 12:45PM-1:00PM ET",138081.24519099973,2026-03-29 16:52:33.000000 UTC,2026-03-30 17:00:00.000000 UTC
1455237,"Bitcoin Up or Down - February 28, 11:40AM-11:45AM ET","Bitcoin Up or Down - February 28, 11:40AM-11:45AM ET",138079.998815,2026-02-27 16:47:01.000000 UTC,2026-02-28 16:45:00.000000 UTC
1472631,"Bitcoin Up or Down - March 1, 11:00PM-11:05PM ET","Bitcoin Up or Down - March 1, 11:00PM-11:05PM ET",138072.841245,2026-03-01 04:07:02.000000 UTC,2026-03-02 04:05:00.000000 UTC
1391887,"Bitcoin Up or Down - February 19, 5:00AM-5:15AM ET","Bitcoin Up or Down - February 19, 5:00AM-5:15AM ET",138064.788018,2026-02-18 10:07:44.000000 UTC,2026-02-19 10:15:00.000000 UTC
1601289,"Bitcoin Up or Down - March 16, 5:00PM-5:15PM ET","Bitcoin Up or Down - March 16, 5:00PM-5:15PM ET",138063.24091799956,2026-03-15 21:07:30.000000 UTC,2026-03-16 21:15:00.000000 UTC
1373171,"Bitcoin Up or Down - February 14, 10:40AM-10:45AM ET","Bitcoin Up or Down - February 14, 10:40AM-10:45AM ET",138060.108591,2026-02-13 15:48:01.000000 UTC,2026-02-14 15:45:00.000000 UTC
1809824,"Bitcoin Up or Down - April 1, 3:10PM-3:15PM ET","Bitcoin Up or Down - April 1, 3:10PM-3:15PM ET",138046.20910000027,2026-03-31 19:17:06.000000 UTC,2026-04-01 19:15:00.000000 UTC
566505,Will the price of Bitcoin be between $118K and $119K on July 23 at 5PM ET?,"Bitcoin Price - July 23, 5PM ET",138042.854055,2025-07-22 14:26:09.000000 UTC,2025-07-23 21:00:00.000000 UTC
1747841,"Bitcoin Up or Down - March 28, 5:35PM-5:40PM ET","Bitcoin Up or Down - March 28, 5:35PM-5:40PM ET",138041.87390899943,2026-03-27 21:42:20.000000 UTC,2026-03-28 21:40:00.000000 UTC
1398459,"Will the price of Bitcoin be between $64,000 and $66,000 on February 26?",Bitcoin price on February 26?,138041.239224,2026-02-19 17:00:06.000000 UTC,2026-02-26 17:00:00.000000 UTC
2018968,"Will Bitcoin reach $79,000 on April 19?",What price will Bitcoin hit on April 19?,138030.20563800004,2026-04-19 04:00:02.000000 UTC,2026-04-20 04:00:00.000000 UTC
1098297,"Bitcoin Up or Down - January 5, 1PM ET","Bitcoin Up or Down - January 5, 1PM ET",138029.604247,2026-01-03 18:00:00.000000 UTC,2026-01-05 19:00:00.000000 UTC
583069,"Bitcoin Up or Down - September 1, 5PM ET","Bitcoin Up or Down - September 1, 5PM ET",138024.107504,2025-08-29 12:56:51.000000 UTC,2025-09-01 22:00:00.000000 UTC
619736,"Bitcoin Up or Down - October 4, 7AM ET","Bitcoin Up or Down - October 4, 7AM ET",138023.935109,2025-10-02 11:00:00.000000 UTC,2025-10-04 12:00:00.000000 UTC
1251421,"Bitcoin Up or Down - January 24, 1:45PM-2:00PM ET","Bitcoin Up or Down - January 24, 1:45PM-2:00PM ET",138023.25564,2026-01-23 18:53:26.000000 UTC,2026-01-24 19:00:00.000000 UTC
1800570,"Bitcoin Up or Down - April 1, 12:50AM-12:55AM ET","Bitcoin Up or Down - April 1, 12:50AM-12:55AM ET",138019.68958699956,2026-03-31 04:56:55.000000 UTC,2026-04-01 04:55:00.000000 UTC
1778708,"Bitcoin Up or Down - March 30, 1:00PM-1:05PM ET","Bitcoin Up or Down - March 30, 1:00PM-1:05PM ET",138012.65651599955,2026-03-29 17:07:01.000000 UTC,2026-03-30 17:05:00.000000 UTC
1768307,"Bitcoin Up or Down - March 29, 7:50PM-7:55PM ET","Bitcoin Up or Down - March 29, 7:50PM-7:55PM ET",137991.86344699981,2026-03-28 23:56:57.000000 UTC,2026-03-29 23:55:00.000000 UTC
1254619,"Bitcoin Up or Down - January 24, 8:00PM-8:15PM ET","Bitcoin Up or Down - January 24, 8:00PM-8:15PM ET",137980.022375,2026-01-24 01:08:06.000000 UTC,2026-01-25 01:15:00.000000 UTC
1118057,"Bitcoin Up or Down - January 6, 7:30PM-7:45PM ET","Bitcoin Up or Down - January 6, 7:30PM-7:45PM ET",137958.020247,2026-01-06 00:31:59.000000 UTC,2026-01-07 00:45:00.000000 UTC
1380739,"Bitcoin Up or Down - February 16, 3:00AM-3:15AM ET","Bitcoin Up or Down - February 16, 3:00AM-3:15AM ET",137949.35619,2026-02-15 08:08:02.000000 UTC,2026-02-16 08:15:00.000000 UTC
785552,"Bitcoin Up or Down - December 2, 5:15AM-5:30AM ET","Bitcoin Up or Down - December 2, 5:15AM-5:30AM ET",137942.982576,2025-12-01 10:17:19.000000 UTC,2025-12-02 10:30:00.000000 UTC
1787120,"Bitcoin Up or Down - March 31, 12:30AM-12:45AM ET","Bitcoin Up or Down - March 31, 12:30AM-12:45AM ET",137941.55878099956,2026-03-30 04:37:01.000000 UTC,2026-03-31 04:45:00.000000 UTC
1769137,"Bitcoin Up or Down - March 29, 9:30PM-9:35PM ET","Bitcoin Up or Down - March 29, 9:30PM-9:35PM ET",137939.96312299964,2026-03-29 01:37:07.000000 UTC,2026-03-30 01:35:00.000000 UTC
637566,"Will the price of Bitcoin be above $106,000 on October 23?",Bitcoin above ___ on October 23?,137933.438104,2025-10-16 16:00:11.000000 UTC,2025-10-23 16:00:00.000000 UTC
1443639,"Bitcoin Up or Down - February 27, 4:05AM-4:10AM ET","Bitcoin Up or Down - February 27, 4:05AM-4:10AM ET",137922.882503,2026-02-26 09:12:28.000000 UTC,2026-02-27 09:10:00.000000 UTC
1764961,"Bitcoin Up or Down - March 29, 3:00PM-3:05PM ET","Bitcoin Up or Down - March 29, 3:00PM-3:05PM ET",137922.43284399962,2026-03-28 19:06:57.000000 UTC,2026-03-29 19:05:00.000000 UTC
1204137,"Bitcoin Up or Down - January 18, 12:30AM-12:45AM ET","Bitcoin Up or Down - January 18, 12:30AM-12:45AM ET",137921.434201,2026-01-17 05:36:58.000000 UTC,2026-01-18 05:45:00.000000 UTC
691017,"Bitcoin Up or Down - November 20, 4:45AM-5:00AM ET","Bitcoin Up or Down - November 20, 4:45AM-5:00AM ET",137921.072304,2025-11-19 09:47:28.000000 UTC,2025-11-20 10:00:00.000000 UTC
1345558,"Bitcoin Up or Down - February 8, 11AM ET","Bitcoin Up or Down - February 8, 11AM ET",137917.457492,2026-02-06 16:00:01.000000 UTC,2026-02-08 17:00:00.000000 UTC
1494293,"Bitcoin Up or Down - March 4, 1:45PM-1:50PM ET","Bitcoin Up or Down - March 4, 1:45PM-1:50PM ET",137913.841533,2026-03-03 18:51:54.000000 UTC,2026-03-04 18:50:00.000000 UTC
1146732,"Bitcoin Up or Down - January 10, 6:00PM-6:15PM ET","Bitcoin Up or Down - January 10, 6:00PM-6:15PM ET",137909.245604,2026-01-09 23:01:46.000000 UTC,2026-01-10 23:15:00.000000 UTC
1051476,"Bitcoin Up or Down - December 29, 4:45PM-5:00PM ET","Bitcoin Up or Down - December 29, 4:45PM-5:00PM ET",137902.958264,2025-12-28 21:46:48.000000 UTC,2025-12-29 22:00:00.000000 UTC
1372569,"Bitcoin Up or Down - February 14, 8:40AM-8:45AM ET","Bitcoin Up or Down - February 14, 8:40AM-8:45AM ET",137890.190569,2026-02-13 13:48:39.000000 UTC,2026-02-14 13:45:00.000000 UTC
1884243,"Bitcoin Up or Down - April 6, 7:10PM-7:15PM ET","Bitcoin Up or Down - April 6, 7:10PM-7:15PM ET",137888.46613599939,2026-04-05 23:17:36.000000 UTC,2026-04-06 23:15:00.000000 UTC
1460418,"Bitcoin Up or Down - February 28, 5:40PM-5:45PM ET","Bitcoin Up or Down - February 28, 5:40PM-5:45PM ET",137884.221045,2026-02-27 22:46:59.000000 UTC,2026-02-28 22:45:00.000000 UTC
1371338,"Bitcoin Up or Down - February 13, 10:00PM-10:15PM ET","Bitcoin Up or Down - February 13, 10:00PM-10:15PM ET",137880.916457,2026-02-13 03:07:31.000000 UTC,2026-02-14 03:15:00.000000 UTC
1397835,"Bitcoin Up or Down - February 20, 10:45AM-10:50AM ET","Bitcoin Up or Down - February 20, 10:45AM-10:50AM ET",137878.448579,2026-02-19 15:52:39.000000 UTC,2026-02-20 15:50:00.000000 UTC
1383775,"Bitcoin Up or Down - February 16, 10:15PM-10:30PM ET","Bitcoin Up or Down - February 16, 10:15PM-10:30PM ET",137878.385641,2026-02-16 03:22:32.000000 UTC,2026-02-17 03:30:00.000000 UTC
1474605,"Bitcoin Up or Down - March 2, 3:40AM-3:45AM ET","Bitcoin Up or Down - March 2, 3:40AM-3:45AM ET",137865.702176,2026-03-01 08:46:56.000000 UTC,2026-03-02 08:45:00.000000 UTC
